annotated_512_id,run,pattern,k_top1_identity,k_top1_score,k_top2_identity,k_top2_score,k_robust_separation,k_support_impression_count,k_support_pass,k_margin_pass,k_winner_leave_one_out_stable,k_global_position_drop_change_count,o_top1_identity,o_top1_score,o_top2_identity,o_top2_score,o_robust_separation,o_support_impression_count,o_support_pass,o_margin_pass,o_winner_leave_one_out_stable,o_global_position_drop_change_count,channels_agree,global_assignment_identity,assignment_agrees_with_local,one_to_one_collision,status,frozen_final_identity
R3/22_right_loop,R3,right_loop,30,0.10319066792726517,51,0.05697872117161751,4.941380457911607,3,true,true,true,0,139,0.16762752830982208,20,0.14813560247421265,0.6321723870043676,0,false,false,false,2,false,30,false,false,AMBIGUOUS,
R3/22_whorl,R3,whorl,21,0.038943737745285034,92,0.036197930574417114,0.3324251225536899,0,false,false,false,3,95,0.19548048079013824,148,0.15309329330921173,1.5594412243903382,0,false,false,false,1,false,95,false,false,AMBIGUOUS,
R3/23_right_loop,R3,right_loop,32,0.4341878592967987,30,0.04820640757679939,47.714615366670834,5,true,true,true,0,6,0.16733203828334808,1,0.1491265743970871,0.5557762657564295,0,false,false,false,1,false,32,false,false,AMBIGUOUS,
R3/23_whorl,R3,whorl,33,0.06837499886751175,110,0.0642651692032814,0.539443960557635,0,false,false,false,2,75,0.18760864436626434,31,0.17382214963436127,0.48787862119315606,1,false,false,false,2,false,33,false,false,AMBIGUOUS,
R3/24_right_loop,R3,right_loop,66,0.07202104479074478,8,0.06038450822234154,1.289059895168946,0,false,false,false,1,7,0.16207848489284515,34,0.15463243424892426,0.220198227892374,0,false,false,false,2,false,129,false,false,AMBIGUOUS,
R3/24_whorl,R3,whorl,35,0.12033215910196304,69,0.06806080788373947,4.771540330094817,1,false,true,false,1,45,0.19359064102172852,35,0.18206720054149628,0.41904219043481644,0,false,false,false,3,false,35,false,false,AMBIGUOUS,
R3/25_right_loop,R3,right_loop,48,0.04182441905140877,144,0.039071571081876755,0.34294416103617725,1,false,false,false,3,35,0.12588439881801605,122,0.10677941888570786,0.9064139101767609,0,false,false,false,2,false,21,false,false,AMBIGUOUS,
R3/25_whorl,R3,whorl,37,0.6564400792121887,137,0.06338238716125488,60.757725034507374,3,true,true,true,0,101,0.16635026037693024,50,0.13054843246936798,1.4000403789063767,0,false,false,false,1,false,37,false,false,AMBIGUOUS,
R3/26_right_loop,R3,right_loop,38,0.2547028660774231,63,0.046266261488199234,25.306931460550835,3,true,true,true,0,120,0.1876729279756546,49,0.1787729263305664,0.2879907104497797,0,false,false,false,3,false,38,false,false,AMBIGUOUS,
R3/26_whorl,R3,whorl,39,0.6113244891166687,48,0.0931672528386116,47.936221177032884,9,true,true,true,0,33,0.15099194645881653,73,0.12409847229719162,1.2592067495916202,0,false,false,false,1,false,39,false,false,AMBIGUOUS,
R3/27_right_loop,R3,right_loop,40,0.5662054419517517,79,0.047669414430856705,54.67341276709735,8,true,true,true,0,120,0.17567847669124603,54,0.17459802329540253,0.0433915163210167,0,false,false,false,3,false,40,false,false,AMBIGUOUS,
R3/27_whorl,R3,whorl,104,0.04597469046711922,135,0.03899775817990303,0.7208121797535626,0,false,false,false,1,16,0.14255507290363312,113,0.13446183502674103,0.3451531969572349,0,false,false,false,2,false,107,false,false,AMBIGUOUS,
R3/28_right_loop,R3,right_loop,5,0.04116244986653328,117,0.03497464954853058,0.6398599674940795,0,false,false,false,2,1,0.12591451406478882,34,0.12165510654449463,0.21542170037179725,1,false,false,false,2,false,19,false,false,AMBIGUOUS,
R3/28_whorl,R3,whorl,43,0.3016548156738281,70,0.058893028646707535,23.151450247322664,7,true,true,true,0,87,0.1759544014930725,14,0.16109944880008698,0.5451196528639507,0,false,false,false,2,false,43,false,false,AMBIGUOUS,
R3/29_right_loop,R3,right_loop,96,0.05496711656451225,81,0.04533269628882408,1.123751692932146,0,false,false,false,1,6,0.09198897331953049,88,0.08921486139297485,0.1263523458440157,0,false,false,false,3,false,47,false,false,AMBIGUOUS,
R3/29_whorl,R3,whorl,45,0.09870591759681702,11,0.05410796403884888,5.2287186716330725,1,false,true,false,1,77,0.15288977324962616,113,0.13227204978466034,0.8240839915075766,0,false,false,false,1,false,45,false,false,AMBIGUOUS,
R3/2_left_loop,R3,left_loop,87,0.09365013986825943,98,0.046904612332582474,5.762431513952219,0,false,true,false,1,130,0.11223258823156357,100,0.09767711907625198,0.8300702415288488,0,false,false,false,2,false,87,false,false,AMBIGUOUS,
R3/2_plain_arch,R3,plain_arch,73,0.04194841906428337,111,0.03172684833407402,1.4622069082158535,0,false,false,false,1,129,0.15134532749652863,53,0.1291622519493103,0.952571395185829,0,false,false,false,1,false,53,false,false,AMBIGUOUS,
R3/2_right_loop,R3,right_loop,48,2.1103618144989014,144,0.048309486359357834,228.58070359817384,9,true,true,true,0,38,0.10789782553911209,120,0.10407064110040665,0.19421046146807888,0,false,false,false,3,false,48,false,false,AMBIGUOUS,
R3/2_tented_arch,R3,tented_arch,49,2.4259984493255615,106,0.06307180225849152,214.43930589074196,9,true,true,true,0,31,0.11529644578695297,23,0.11067074537277222,0.2446338684668659,0,false,false,false,2,false,49,false,false,AMBIGUOUS,
R3/2_whorl,R3,whorl,50,0.327078253030777,106,0.06379494816064835,25.49912920535175,6,true,true,true,0,127,0.1779623180627823,18,0.16265647113323212,0.5761086306581421,0,false,false,false,2,false,50,false,false,AMBIGUOUS,
R3/30_right_loop,R3,right_loop,51,0.1307811588048935,109,0.049160923808813095,9.063270246363896,0,false,true,true,0,64,0.15471725165843964,120,0.11675883084535599,1.7649037163790768,0,false,false,false,1,false,51,false,false,AMBIGUOUS,
R3/30_whorl,R3,whorl,52,0.1592436581850052,37,0.04935051128268242,12.129381380340098,2,true,true,true,0,73,0.14941199123859406,64,0.1386553943157196,0.43000489769557865,0,false,false,false,2,false,52,false,false,AMBIGUOUS,
R3/31_right_loop,R3,right_loop,114,0.04066603258252144,53,0.040168825536966324,0.05418384269370888,0,false,false,false,2,27,0.11208833009004593,104,0.10931087285280228,0.12686457896224249,0,false,false,false,3,false,60,false,false,AMBIGUOUS,
R3/31_whorl,R3,whorl,54,0.3005692958831787,42,0.05609967187047005,28.20056762990458,5,true,true,true,0,91,0.14120890200138092,66,0.1378694474697113,0.1408525695622833,0,false,false,false,1,false,54,false,false,AMBIGUOUS,
R3/32_right_loop,R3,right_loop,55,0.38347652554512024,148,0.05159981548786163,28.287988002453165,2,true,true,true,0,69,0.1470266431570053,148,0.12674713134765625,0.8598096809797529,0,false,false,false,2,false,55,false,false,AMBIGUOUS,
R3/32_whorl,R3,whorl,56,0.3154675364494324,90,0.04634632170200348,32.960463355605434,1,false,true,true,0,34,0.150843545794487,20,0.15029758214950562,0.018496461650947628,0,false,false,false,2,false,56,false,false,AMBIGUOUS,
R3/33_right_loop,R3,right_loop,57,0.730309784412384,56,0.06211027130484581,65.29161328139979,5,true,true,true,0,73,0.14267434179782867,64,0.11148545145988464,1.8962409410438263,0,false,false,false,1,false,57,false,false,AMBIGUOUS,
R3/33_whorl,R3,whorl,58,0.7054904103279114,115,0.05142246559262276,65.23369504779309,4,true,true,true,0,83,0.1815062165260315,66,0.15813659131526947,0.8685089564178157,0,false,false,false,1,false,58,false,false,AMBIGUOUS,
R3/34_right_loop,R3,right_loop,59,0.993952214717865,79,0.051265865564346313,115.71657500966472,8,true,true,true,0,40,0.168013796210289,88,0.14657466113567352,0.7063018869812745,1,false,false,false,1,false,59,false,false,AMBIGUOUS,
R3/34_whorl,R3,whorl,31,0.07950117439031601,97,0.04739139601588249,3.5956033441317214,0,false,true,false,1,43,0.16575747728347778,113,0.15849702060222626,0.23134910037476064,0,false,false,false,2,false,31,false,false,AMBIGUOUS,
R3/35_right_loop,R3,right_loop,61,0.23061662912368774,95,0.05176180601119995,19.188702374727143,5,true,true,true,0,48,0.1451677680015564,125,0.11445435136556625,1.4126939102992033,0,false,false,false,1,false,61,false,false,AMBIGUOUS,
R3/35_whorl,R3,whorl,62,0.6202059388160706,88,0.05710702762007713,55.863604752395396,6,true,true,true,0,148,0.15262417495250702,31,0.11243610829114914,1.8052932895376859,0,false,false,false,1,false,62,false,false,AMBIGUOUS,
R3/36_right_loop,R3,right_loop,63,0.07165571302175522,31,0.06138920783996582,1.039114716762594,2,true,false,false,2,64,0.21346509456634521,31,0.19989903271198273,0.32915842339255985,0,false,false,false,2,false,63,false,false,AMBIGUOUS,
R3/36_whorl,R3,whorl,64,0.18414300680160522,35,0.04101996868848801,15.129329945351873,1,false,true,true,0,148,0.15737968683242798,64,0.14927656948566437,0.30524963128690685,0,false,false,false,3,false,64,false,false,AMBIGUOUS,
R3/37_right_loop,R3,right_loop,65,0.06938927620649338,83,0.06149083003401756,0.7510755356310223,2,true,false,false,2,73,0.14298546314239502,112,0.13345403969287872,0.3199865999181092,0,false,false,false,2,false,65,false,false,AMBIGUOUS,
R3/37_whorl,R3,whorl,66,0.131867915391922,41,0.04601353406906128,7.975420361821468,0,false,true,false,1,55,0.1965799778699875,49,0.16014666855335236,1.1740651206063915,0,false,false,false,2,false,66,false,false,AMBIGUOUS,
R3/38_right_loop,R3,right_loop,67,0.2236214280128479,130,0.051701467484235764,20.305835031078825,1,false,true,true,0,120,0.19658546149730682,64,0.16046863794326782,1.0138316623963188,0,false,false,false,1,false,67,false,false,AMBIGUOUS,
R3/38_whorl,R3,whorl,68,0.15725548565387726,99,0.048854127526283264,11.326634394709124,0,false,true,true,0,52,0.17205588519573212,101,0.1661713868379593,0.20188914527718504,0,false,false,false,3,false,68,false,false,AMBIGUOUS,
