record_id,sample_index,subject_id,anatomical_position,ppi,seed,frozen_mated_pair,frozen_non_mated_pair,mated_registration_status,non_mated_registration_status,mated_score_status,non_mated_score_status,mated_repeatability,non_mated_repeatability,delta,mated_matches,mated_plain_in_overlap,mated_roll_in_overlap,non_mated_matches,non_mated_plain_in_overlap,non_mated_roll_in_overlap,plain_detections,plain_detections_per_megapixel,plain_detections_per_estimated_ridge_megapixel,mated_roll_detections,mated_roll_detections_per_megapixel,mated_roll_detections_per_estimated_ridge_megapixel,non_mated_roll_detections,non_mated_roll_detections_per_megapixel,non_mated_roll_detections_per_estimated_ridge_megapixel
S10-2000,10,00001668,5,2000,40402,OK,OK,INVALID,AMBIGUOUS,REGISTRATION_INVALID,REGISTRATION_AMBIGUOUS,,,,,,,,,,1365,887.4147041690937,1442.3412209497685,4860,715.9516382034152,2116.851049039076,4108,707.0499836834618,1386.9124486195867
S11-2000,11,00001595,6,2000,40402,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,2189,621.2593884241978,1048.827746932095,4973,751.0204772007974,1299.0218806691805,4585,841.621052090561,1551.1707025297785
S12-2000,12,00001159,6,2000,40402,OK,OK,AMBIGUOUS,AMBIGUOUS,REGISTRATION_AMBIGUOUS,REGISTRATION_AMBIGUOUS,,,,,,,,,,1850,619.3494821736153,1210.3939472451434,2759,620.7443352298396,1084.6451747835524,2164,562.1538493510812,969.8890678173865
S13-2000,13,00001741,7,2000,40402,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1872,960.6631038655399,1561.720495412446,4091,792.8906144311131,1441.1013663867245,3907,776.9409803257147,1345.4760219780596
S14-2000,14,00001411,7,2000,40402,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1987,1122.5354499745777,1709.5723143926716,4713,1000.2648696281129,1991.4165846592894,4648,953.116432358877,1971.9589808773435
S15-2000,15,00001234,8,2000,40402,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,891,1554.8408600311666,1664.5680529971564,4523,896.7919908524441,1778.932530355519,4357,924.9941617306753,1867.976865726033
S16-2000,16,00001711,8,2000,40402,OK,OK,VALID,AMBIGUOUS,OK,REGISTRATION_AMBIGUOUS,0.5172413793103449,,,150,347,233,,,,1767,1219.057869028893,1665.256178034451,2851,551.8298064743901,1082.116347813677,2832,663.2837322638352,1563.1580428952204
S17-2000,17,00001036,9,2000,40402,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1983,1208.5958407969053,1942.1374285042702,3585,811.0096425313816,1627.8990566359025,3427,751.4362145331754,2140.440904593922
S18-2000,18,00001580,9,2000,40402,OK,OK,VALID,INVALID,OK,REGISTRATION_INVALID,0.22093023255813954,,,38,180,164,,,,1114,777.5832656263524,1118.4491908813259,3000,772.2884373747445,1383.496455251499,3917,754.9047609686679,1877.012325410779
S19-2000,19,00001085,10,2000,40402,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,312,529.6259516716319,562.1966030351409,2404,582.2708222976784,1265.6075363664745,3185,640.1845339456593,1091.5253424082441
